Order,Member,SKU,Created On,Description,Member's Gender,Member's Membership Level,Member's Purchase History,Order Value,Payment Method,Order Status,Masked Credit Card Number,Masked  Member's Email,Masked  Member's Phone Number,Masked  Member's Full Name,Masked  Member's Address,Masked Delivery Address,Age Group
6431884,M51043,"15668480, 15669776, 15669780, 15669824, 15669857, 7628087, 15669770, 15669760, 15670270, 15669864, 7704153, 7585573, 15669818, 15669777, 15669827, 7729965, 15668416, 34991192",01-10-2014 00:00,"Bread, Other Pulses, Sugar, Raw Rice, Raw Peanuts, Basmati Rice, Other Flours, Whole Spices, Other Pulses, Other Pulses, Mosquito Repellent, Cakes, Whole Spices, Urad Dal, Kidney Beans, Sunflower Oils, Banana, Muffins, Cookies & Rusk",Female,Bronze,5,72,Credit Card,Delivered,1.0394E+15,************iel@example.com,***-***-***-****x*3559,Diane ******,"713 Heather Manor, ************, ********","928 Munoz Vista, *************, ********",40-59
6432520,M32655,"7580088, 34935576, 34987954, 15669786, 93073679, 15669862, 92435927, 15669772, 7575483, 7572307",01-10-2014 00:00,"Ice Creams & Desserts, Bakery & Breads, Corn Snacks,Flat Rice, Snacks, Other Pulses, Basmati Rice, Other Pulses, Health Supplements, Snacks",Female,Gold,0,522,PayPal,Delivered,8.59562E+15,***ite@example.net,(***)***-8983,William ****,"68728 Cole Trace Apt. 763, ************, ********","23216 Young Port, *********, ********",100+
6433387,M56368,"34986329, 15669872, 15669886, 15668469, 7580823, 15669780, 15668685, 15668460",01-10-2014 00:00,"Raw Rice,Flat Rice, Millet flour, Beans, Sunflower Oils, Sugar, Beans, Gourd & Cucumber",Male,Gold,9,864,Cash,Pending,2.39486E+15,**********eph@example.net,+*-***-***-****x589,Jessica ******,"7071 Lawson Roads Suite 799, ****************, ********","5199 Isaiah Corners Apt. 504, *******************, ********",60-79
6433935,M31101,"15670253, 15668465, 34990053, 21410680",02-10-2014 00:00,"Organic F&V, Root Vegetables, Hair Colors & Dyes, Organic Dry Fruits",Female,Bronze,0,206,PayPal,Delivered,9.86296E+15,*********own@example.com,+*-***-***-****x*8617,Philip *****,"42101 Eddie Port Apt. 116, ************, ********","79651 Buchanan Heights Apt. 418, *********, ********",0-19
6434519,M42827,"15670269, 15669988, 15669864, 15669760, 15669780, 15669771, 15669872, 15669772, 15669763, 15669861, 15669878, 15669871, 29247044",02-10-2014 00:00,"Other Pulses, Other Pulses, Other Pulses, Whole Spices, Sugar, Maida,Flat Rice, Other Pulses, Other Pulses, Raw Peanuts, Kidney Beans, Other Rice Products, Besan",Male,Gold,4,995,Cash,Pending,2.50315E+15,****era@example.com,(***)***-****x*7495,Reginald *****,"6278 Bryce Walks, ***************, ********","32228 Bryan Alley, ******************, ********",0-19
6436519,M14746,"15669760, 34938526, 15669818, 7598777",02-10-2014 00:00,"Whole Spices, Other Sweets, Whole Spices, Agarbatti",Female,Bronze,7,354,PayPal,Pending,4.68229E+15,********son@example.org,***.***.8841,Lisa ******,"110 Armstrong Hollow Apt. 375, ***************, ********","04930 Hernandez Divide, **************, ********",0-19
6436887,M52629,"7572730, 7587491, 7625825",03-10-2014 00:00,"Other Juices, Organic Flours, Health Drinks",Male,Gold,0,16,Credit Card,Shipped,4.85077E+15,**********een@example.com,***-***-1325,Paula ****,"91960 April Plaza Suite 042, *********, ********","5426 Ramirez Estate Apt. 551, ***********, ********",20-39
6438096,M59232,"15669867, 15669823, 15669772, 15668381, 15669764, 15669874, 15669870, 15669857, 7624770, 15669832, 34938526, 15668688, 15669817, 15669887, 34986118, 7572252, 15669873, 15670267, 15669869, 15669998, 15669790, 15669804, 15669994, 15669781, 15670270, 15668460, 15668462, 15669786, 7628087, 15669835, 15669767, 15669860, 15669814, 15668467, 15669799, 34992257, 15669770, 34934495, 34992261, 15669818, 29247179",03-10-2014 00:00,"Other Pulses, Whole Spices, Other Pulses, Other Vegetables, Besan,Flat Rice, Millet flour, Raw Peanuts, Shampoo, Sugar, Other Sweets, Root Vegetables, Whole Spices, Maida, Whole Spices, Cooking Paste, Whole Spices, Kidney Beans, Moong Dal, Other Pulses, Other Rice Products, Cashews, Other Pulses, Rice Flour, Other Pulses, Gourd & Cucumber, Gourd & Cucumber,Flat Rice, Basmati Rice, Raw Rice, Urad Dal, Moong Dal, Jaggery, Beans, Raisins, Organic Baby Foods, Other Flours, Organic Branded Foods, Organic Baby Foods, Whole Spices, Whole Spices",Male,Silver,10,418,Cash,Pending,8.64714E+15,*******ith@example.org,(***)***-****x*0110,Angela *****,"3428 Krista Spur, **********, ********","31604 Brandon Ports Suite 647, **********, ********",0-19
6439309,M31966,"15668378, 15668467, 7689353",04-10-2014 00:00,"Other Vegetables, Beans, Ground Coffee",Male,Silver,4,927,PayPal,Pending,5.45726E+15,****n73@example.net,******8667,Luis *******,"2136 Fleming Greens Apt. 034, *************, ********","PSC 5062, ********, ************",40-59
6439325,M32409,"15668378, 7593949, 15668458, 15668381, 15668520, 7579697, 15668688, 15668460",04-10-2014 00:00,"Other Vegetables, Cream Biscuits, Brinjals, Other Vegetables, Bread, Cream Biscuits, Root Vegetables, Gourd & Cucumber",Female,Gold,7,628,PayPal,Shipped,6.7367E+15,****n65@example.com,***.***.****x512,Melvin ******,"552 Michael Crest Suite 750, ***************, ********","119 Kelly Ferry, ***********, ********",60-79
6439360,M32409,"15669879, 15669790, 15669866, 15669872, 15669886, 15669785, 34986129, 15669862, 15669777, 15669804, 15669824, 7582053, 7578351, 34934318, 34990046, 7569803, 15669860, 7579697, 34987566, 7613347, 15669811, 15669789, 15669878, 15669764, 15669817, 15669864, 34986125, 15669778, 7630967",04-10-2014 00:00,"Other Pulses, Other Rice Products, Other Pulses,Flat Rice, Millet flour, Boiled Rice, Whole Spices, Other Pulses, Urad Dal, Cashews, Raw Rice, Health Drinks, Chinese Noodles, Organic Masalas & Spices, Phenyles & Acids, Snacks, Moong Dal, Cream Biscuits, Whole Spices, Honey, Almonds, Boiled Rice, Kidney Beans, Besan, Whole Spices, Other Pulses, Whole Spices, Other Pulses, Regular Pasta",Male,Bronze,6,195,Cash,Pending,1.23759E+15,********h66@example.com,(***)***-6109,Jordan *****,"3311 Clark Turnpike Suite 836, ************, ********","325 William Light Apt. 155, *************, ********",20-39
6439410,M82651,"15669863, 34987566, 7573023, 15669765, 15669885, 7587677, 7587495, 15669866, 15669778, 34986134, 15670251, 15669760, 15669988",04-10-2014 00:00,"Moong Dal, Whole Spices, Shaving Blade & Razors, Urad Dal, Moong Dal, Organic Pulses & Pulses, Organic Pulses & Pulses, Other Pulses, Other Pulses, Whole Spices, Organic F&V, Whole Spices, Other Pulses",Female,Bronze,2,806,Credit Card,Delivered,8.49804E+15,*******n40@example.net,(***)***-****x6255,James ******,"6103 Lucas Tunnel Suite 883, **********, ********","916 Leon Extensions, ******************, ********",80-99
6439654,M43831,"15669859, 15668478, 15669763, 93141093, 15669863, 15668375, 34990777",03-10-2014 00:00,"Kidney Beans, Banana, Other Pulses, Curd, Moong Dal, Root Vegetables, Eggs",Female,Gold,10,52,Credit Card,Pending,4.73641E+15,********rry@example.net,+*-***-***-****x2435,Tanner ********,"555 Deanna Manor, **************, ********","041 Richmond Locks Apt. 437, *******, ********",80-99
6439956,M45470,"15669875, 15669856, 15668378, 15668467",04-10-2014 00:00,"Kidney Beans, Sugar, Other Vegetables, Beans",Female,Gold,2,178,Cash,Pending,6.61087E+15,*****edy@example.net,(***)***-****x*9177,Angela ****,"059 Ferguson Ranch, ********, ********","316 James Grove, ***********, ********",40-59
6440137,M86304,"15669879, 15669885, 15668380, 15668458, 7621686, 15668460, 15668381, 15669763, 15669772, 15669760, 34934311, 21408913",04-10-2014 00:00,"Other Pulses, Moong Dal, Other Vegetables, Brinjals, Butter & Cream, Gourd & Cucumber, Other Vegetables, Other Pulses, Other Pulses, Whole Spices, Organic Rice & Rice Products, Whole Spices",Female,Gold,10,239,Cash,Shipped,4.70252E+15,******han@example.com,(***)***-****x5094,Amber ****,"PSC 7297, ********, ************","Unit 7983 Box 0717, ************",40-59
6440451,M43189,"7630963, 15668378, 34990547, 15669994, 15668381, 7628037, 15669817, 34986119, 15669863, 15668458, 92436884, 15669988, 15669832, 15668688, 15669762",04-10-2014 00:00,"Tomato Ketchup, Other Vegetables, Cream Biscuits, Other Pulses, Other Vegetables, Ghee, Whole Spices, Whole Spices, Moong Dal, Brinjals, Glucose, Marie & Milk Biscuits, Other Pulses, Sugar, Root Vegetables, Urad Dal",Female,Silver,8,951,PayPal,Pending,9.51386E+15,****mas@example.net,(***)***-****x*5348,Dominic ********,"642 Reed Summit, ***********, ********","USNV Garcia, ************",40-59
6440771,M84827,"15670157, 7587656, 7587674, 15668416, 15668466, 7623116, 15670255",04-10-2014 00:00,"Organic F&V, Organic Rice & Rice Products, Organic Masalas & Spices, Banana, Root Vegetables, Liquid Soaps & Bars, Organic F&V",Male,Gold,9,515,Cash,Delivered,4.72999E+15,******m97@example.org,+*-***-***-****x*2280,Anthony ******,"7508 Moss Ford, ********************, ********","2707 Stephen Route, ********, ********",40-59
6441474,M41747,"15669976, 15668379, 15669860, 15670144, 15669863, 15668521, 15669825, 15668594, 34989498, 15668468, 7543241, 7587649, 15669817, 15669828, 15668381, 15668688, 15668465, 15669804",04-10-2014 00:00,"Almonds, Other Vegetables, Moong Dal, Organic F&V, Moong Dal, Bread, Boiled Rice, Exotic Vegetables, Other Rice Products, Beans, Organic Pulses & Pulses, Organic Rice & Rice Products, Whole Spices, Boiled Rice, Other Vegetables, Root Vegetables, Root Vegetables, Cashews",Female,Bronze,7,722,PayPal,Delivered,5.30753E+15,******rin@example.org,***.***.0215,Bobby *****,"932 Mark Inlet Apt. 096, ********, ********","299 Marc Way Suite 074, ****************, ********",40-59
6441521,M55932,"15668378, 15668687, 15668379",04-10-2014 00:00,"Other Vegetables, Root Vegetables, Other Vegetables",Male,Gold,2,502,PayPal,Delivered,9.55168E+15,***********ams@example.com,***.***.****x366,Trevor *****,"787 Richardson Village Apt. 763, *********, ********","091 Flores Mill, ***************, ********",20-39
6443026,M18732,"15669863, 15669782, 34991187, 15668379, 15668458, 15668478, 15669856, 21410670",05-10-2014 00:00,"Moong Dal, Raw Rice, Bread, Other Vegetables, Brinjals, Banana, Sugar, Organic Rice & Rice Products",Female,Silver,3,180,PayPal,Pending,6.07457E+15,****l74@example.com,******7708,Mario ****,"98770 Katherine Lights Apt. 780, **********, ********","070 David Rapid, ************, ********",100+
6444153,M64055,"7572300, 15668377, 7582053, 34938526, 15668378, 15668460, 15668451, 7569799",05-10-2014 00:00,"Snacks, Root Vegetables, Health Drinks, Other Sweets, Other Vegetables, Gourd & Cucumber, Brinjals, Snacks",Female,Gold,6,246,Cash,Pending,1.42684E+15,*******mes@example.net,***-***-***-****x233,Chad ******,"9203 Stephens Inlet Suite 002, *********, ********","313 Cameron Viaduct, **********, ********",0-19
6445003,M36366,"15668375, 15669863, 15669811, 34934493, 34934494, 15668379, 15669860, 7610713, 15668478",05-10-2014 00:00,"Root Vegetables, Moong Dal, Almonds, Chips, Chips, Other Vegetables, Moong Dal, Corn Snacks, Banana",Female,Gold,6,897,Cash,Shipped,4.84313E+15,**********r08@example.com,***.***.****x*3276,Maria *******,"PSC 6173, ********, ************","PSC 4068, ********, ************",60-79
